"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Weekday"	"Weekday Code"	"Gender"	"Gender Code"	Births
	"Alabama"	"01"	"2012"	"2012"	"January"	"1"	"Weekend"	"1"	"Female"	"F"	414
	"Alabama"	"01"	"2012"	"2012"	"January"	"1"	"Weekend"	"1"	"Male"	"M"	384
	"Alabama"	"01"	"2012"	"2012"	"January"	"1"	"Weekday"	"2"	"Female"	"F"	1960
	"Alabama"	"01"	"2012"	"2012"	"January"	"1"	"Weekday"	"2"	"Male"	"M"	2052
	"Alabama"	"01"	"2012"	"2012"	"February"	"2"	"Weekend"	"1"	"Female"	"F"	272
	"Alabama"	"01"	"2012"	"2012"	"February"	"2"	"Weekend"	"1"	"Male"	"M"	339
	"Alabama"	"01"	"2012"	"2012"	"February"	"2"	"Weekday"	"2"	"Female"	"F"	2012
	"Alabama"	"01"	"2012"	"2012"	"February"	"2"	"Weekday"	"2"	"Male"	"M"	2002
	"Alabama"	"01"	"2012"	"2012"	"March"	"3"	"Weekend"	"1"	"Female"	"F"	338
	"Alabama"	"01"	"2012"	"2012"	"March"	"3"	"Weekend"	"1"	"Male"	"M"	354
	"Alabama"	"01"	"2012"	"2012"	"March"	"3"	"Weekday"	"2"	"Female"	"F"	1872
	"Alabama"	"01"	"2012"	"2012"	"March"	"3"	"Weekday"	"2"	"Male"	"M"	2035
	"Alabama"	"01"	"2012"	"2012"	"April"	"4"	"Weekend"	"1"	"Female"	"F"	302
	"Alabama"	"01"	"2012"	"2012"	"April"	"4"	"Weekend"	"1"	"Male"	"M"	312
	"Alabama"	"01"	"2012"	"2012"	"April"	"4"	"Weekday"	"2"	"Female"	"F"	1932
	"Alabama"	"01"	"2012"	"2012"	"April"	"4"	"Weekday"	"2"	"Male"	"M"	1940
	"Alabama"	"01"	"2012"	"2012"	"May"	"5"	"Weekend"	"1"	"Female"	"F"	299
	"Alabama"	"01"	"2012"	"2012"	"May"	"5"	"Weekend"	"1"	"Male"	"M"	302
	"Alabama"	"01"	"2012"	"2012"	"May"	"5"	"Weekday"	"2"	"Female"	"F"	2059
	"Alabama"	"01"	"2012"	"2012"	"May"	"5"	"Weekday"	"2"	"Male"	"M"	2123
	"Alabama"	"01"	"2012"	"2012"	"June"	"6"	"Weekend"	"1"	"Female"	"F"	400
	"Alabama"	"01"	"2012"	"2012"	"June"	"6"	"Weekend"	"1"	"Male"	"M"	372
	"Alabama"	"01"	"2012"	"2012"	"June"	"6"	"Weekday"	"2"	"Female"	"F"	1990
	"Alabama"	"01"	"2012"	"2012"	"June"	"6"	"Weekday"	"2"	"Male"	"M"	2142
	"Alabama"	"01"	"2012"	"2012"	"July"	"7"	"Weekend"	"1"	"Female"	"F"	379
	"Alabama"	"01"	"2012"	"2012"	"July"	"7"	"Weekend"	"1"	"Male"	"M"	444
	"Alabama"	"01"	"2012"	"2012"	"July"	"7"	"Weekday"	"2"	"Female"	"F"	2106
	"Alabama"	"01"	"2012"	"2012"	"July"	"7"	"Weekday"	"2"	"Male"	"M"	2212
	"Alabama"	"01"	"2012"	"2012"	"August"	"8"	"Weekend"	"1"	"Female"	"F"	353
	"Alabama"	"01"	"2012"	"2012"	"August"	"8"	"Weekend"	"1"	"Male"	"M"	363
	"Alabama"	"01"	"2012"	"2012"	"August"	"8"	"Weekday"	"2"	"Female"	"F"	2336
	"Alabama"	"01"	"2012"	"2012"	"August"	"8"	"Weekday"	"2"	"Male"	"M"	2348
	"Alabama"	"01"	"2012"	"2012"	"September"	"9"	"Weekend"	"1"	"Female"	"F"	420
	"Alabama"	"01"	"2012"	"2012"	"September"	"9"	"Weekend"	"1"	"Male"	"M"	459
	"Alabama"	"01"	"2012"	"2012"	"September"	"9"	"Weekday"	"2"	"Female"	"F"	2008
	"Alabama"	"01"	"2012"	"2012"	"September"	"9"	"Weekday"	"2"	"Male"	"M"	2036
	"Alabama"	"01"	"2012"	"2012"	"October"	"10"	"Weekend"	"1"	"Female"	"F"	331
	"Alabama"	"01"	"2012"	"2012"	"October"	"10"	"Weekend"	"1"	"Male"	"M"	303
	"Alabama"	"01"	"2012"	"2012"	"October"	"10"	"Weekday"	"2"	"Female"	"F"	2151
	"Alabama"	"01"	"2012"	"2012"	"October"	"10"	"Weekday"	"2"	"Male"	"M"	2296
	"Alabama"	"01"	"2012"	"2012"	"November"	"11"	"Weekend"	"1"	"Female"	"F"	344
	"Alabama"	"01"	"2012"	"2012"	"November"	"11"	"Weekend"	"1"	"Male"	"M"	344
	"Alabama"	"01"	"2012"	"2012"	"November"	"11"	"Weekday"	"2"	"Female"	"F"	2104
	"Alabama"	"01"	"2012"	"2012"	"November"	"11"	"Weekday"	"2"	"Male"	"M"	2138
	"Alabama"	"01"	"2012"	"2012"	"December"	"12"	"Weekend"	"1"	"Female"	"F"	406
	"Alabama"	"01"	"2012"	"2012"	"December"	"12"	"Weekend"	"1"	"Male"	"M"	437
	"Alabama"	"01"	"2012"	"2012"	"December"	"12"	"Weekday"	"2"	"Female"	"F"	1984
	"Alabama"	"01"	"2012"	"2012"	"December"	"12"	"Weekday"	"2"	"Male"	"M"	1939
