Notes	State	Year	Month	Weekday	Gender	Births
	Alabama	2016	January	Weekend	Female	379
	Alabama	2016	January	Weekend	Male	421
	Alabama	2016	January	Weekday	Female	1998
	Alabama	2016	January	Weekday	Male	2007
	Alabama	2016	February	Weekend	Female	327
	Alabama	2016	February	Weekend	Male	381
	Alabama	2016	February	Weekday	Female	1950
	Alabama	2016	February	Weekday	Male	2060
	Alabama	2016	March	Weekend	Female	294
	Alabama	2016	March	Weekend	Male	328
	Alabama	2016	March	Weekday	Female	2086
	Alabama	2016	March	Weekday	Male	2117
	Alabama	2016	April	Weekend	Female	337
	Alabama	2016	April	Weekend	Male	385
	Alabama	2016	April	Weekday	Female	1883
	Alabama	2016	April	Weekday	Male	1922
	Alabama	2016	May	Weekend	Female	352
	Alabama	2016	May	Weekend	Male	376
	Alabama	2016	May	Weekday	Female	1999
	Alabama	2016	May	Weekday	Male	2075
	Alabama	2016	June	Weekend	Female	315
	Alabama	2016	June	Weekend	Male	396
	Alabama	2016	June	Weekday	Female	2151
	Alabama	2016	June	Weekday	Male	2185
	Alabama	2016	July	Weekend	Female	419
	Alabama	2016	July	Weekend	Male	462
	Alabama	2016	July	Weekday	Female	2024
	Alabama	2016	July	Weekday	Male	2138
	Alabama	2016	August	Weekend	Female	333
	Alabama	2016	August	Weekend	Male	355
	Alabama	2016	August	Weekday	Female	2313
	Alabama	2016	August	Weekday	Male	2324
	Alabama	2016	September	Weekend	Female	348
	Alabama	2016	September	Weekend	Male	382
	Alabama	2016	September	Weekday	Female	2155
	Alabama	2016	September	Weekday	Male	2354
	Alabama	2016	October	Weekend	Female	412
	Alabama	2016	October	Weekend	Male	479
	Alabama	2016	October	Weekday	Female	2020
	Alabama	2016	October	Weekday	Male	2062
	Alabama	2016	November	Weekend	Female	302
	Alabama	2016	November	Weekend	Male	351
	Alabama	2016	November	Weekday	Female	2051
	Alabama	2016	November	Weekday	Male	2206
	Alabama	2016	December	Weekend	Female	369
	Alabama	2016	December	Weekend	Male	352
	Alabama	2016	December	Weekday	Female	2043
	Alabama	2016	December	Weekday	Male	2173
	Alabama	2017	January	Weekend	Female	395
	Alabama	2017	January	Weekend	Male	416
	Alabama	2017	January	Weekday	Female	2005
	Alabama	2017	January	Weekday	Male	2121
	Alabama	2017	February	Weekend	Female	338
	Alabama	2017	February	Weekend	Male	323
	Alabama	2017	February	Weekday	Female	1890
	Alabama	2017	February	Weekday	Male	1946
	Alabama	2017	March	Weekend	Female	294
	Alabama	2017	March	Weekend	Male	299
	Alabama	2017	March	Weekday	Female	2051
	Alabama	2017	March	Weekday	Male	2165
	Alabama	2017	April	Weekend	Female	413
	Alabama	2017	April	Weekend	Male	380
	Alabama	2017	April	Weekday	Female	1717
	Alabama	2017	April	Weekday	Male	1873
	Alabama	2017	May	Weekend	Female	296
	Alabama	2017	May	Weekend	Male	332
	Alabama	2017	May	Weekday	Female	2081
	Alabama	2017	May	Weekday	Male	2054
	Alabama	2017	June	Weekend	Female	306
	Alabama	2017	June	Weekend	Male	361
	Alabama	2017	June	Weekday	Female	2047
	Alabama	2017	June	Weekday	Male	2109
	Alabama	2017	July	Weekend	Female	455
	Alabama	2017	July	Weekend	Male	469
	Alabama	2017	July	Weekday	Female	2020
	Alabama	2017	July	Weekday	Male	2109
	Alabama	2017	August	Weekend	Female	381
	Alabama	2017	August	Weekend	Male	412
	Alabama	2017	August	Weekday	Female	2338
	Alabama	2017	August	Weekday	Male	2408
	Alabama	2017	September	Weekend	Female	423
	Alabama	2017	September	Weekend	Male	410
	Alabama	2017	September	Weekday	Female	2107
	Alabama	2017	September	Weekday	Male	2271
	Alabama	2017	October	Weekend	Female	372
	Alabama	2017	October	Weekend	Male	398
	Alabama	2017	October	Weekday	Female	2051
	Alabama	2017	October	Weekday	Male	2240
	Alabama	2017	November	Weekend	Female	326
	Alabama	2017	November	Weekend	Male	366
	Alabama	2017	November	Weekday	Female	2165
	Alabama	2017	November	Weekday	Male	2112
	Alabama	2017	December	Weekend	Female	436
	Alabama	2017	December	Weekend	Male	415
	Alabama	2017	December	Weekday	Female	1967
	Alabama	2017	December	Weekday	Male	2078
	Alabama	2018	January	Weekend	Female	347
	Alabama	2018	January	Weekend	Male	347
	Alabama	2018	January	Weekday	Female	2027
	Alabama	2018	January	Weekday	Male	2181
	Alabama	2018	February	Weekend	Female	300
	Alabama	2018	February	Weekend	Male	325
	Alabama	2018	February	Weekday	Female	1756
	Alabama	2018	February	Weekday	Male	1961
	Alabama	2018	March	Weekend	Female	345
	Alabama	2018	March	Weekend	Male	350
	Alabama	2018	March	Weekday	Female	1998
	Alabama	2018	March	Weekday	Male	2068
	Alabama	2018	April	Weekend	Female	321
	Alabama	2018	April	Weekend	Male	342
	Alabama	2018	April	Weekday	Female	1785
	Alabama	2018	April	Weekday	Male	1945
	Alabama	2018	May	Weekend	Female	298
	Alabama	2018	May	Weekend	Male	326
	Alabama	2018	May	Weekday	Female	1988
	Alabama	2018	May	Weekday	Male	2173
