State	Code	Year	Month	Gender	Infant Birth Weight 12	Births
Alabama 	1	2019	January	Female	500 - 999 grams	20
Alabama 	1	2019	January	Female	1000 - 1499 grams	19
Alabama 	1	2019	January	Female	2000 - 2499 grams	195
Alabama 	1	2019	January	Female	2500 - 2999 grams	628
Alabama 	1	2019	January	Female	3000 - 3499 grams	953
Alabama 	1	2019	January	Female	3500 - 3999 grams	491
Alabama 	1	2019	January	Female	4000 - 4499 grams	89
Alabama 	1	2019	January	Male	500 - 999 grams	21
Alabama 	1	2019	January	Male	1000 - 1499 grams	18
Alabama 	1	2019	January	Male	1500 - 1999 grams	50
Alabama 	1	2019	January	Male	2000 - 2499 grams	151
Alabama 	1	2019	January	Male	2500 - 2999 grams	502
Alabama 	1	2019	January	Male	3000 - 3499 grams	940
Alabama 	1	2019	January	Male	3500 - 3999 grams	658
Alabama 	1	2019	January	Male	4000 - 4499 grams	186
Alabama 	1	2019	January	Male	4500 - 4999 grams	33
Alabama 	1	2019	February	Female	500 - 999 grams	10
Alabama 	1	2019	February	Female	1000 - 1499 grams	19
Alabama 	1	2019	February	Female	1500 - 1999 grams	39
Alabama 	1	2019	February	Female	2000 - 2499 grams	167
Alabama 	1	2019	February	Female	2500 - 2999 grams	530
Alabama 	1	2019	February	Female	3000 - 3499 grams	827
Alabama 	1	2019	February	Female	3500 - 3999 grams	449
Alabama 	1	2019	February	Female	4000 - 4499 grams	73
Alabama 	1	2019	February	Female	4500 - 4999 grams	14
Alabama 	1	2019	February	Male	1000 - 1499 grams	20
Alabama 	1	2019	February	Male	1500 - 1999 grams	42
Alabama 	1	2019	February	Male	2000 - 2499 grams	122
Alabama 	1	2019	February	Male	2500 - 2999 grams	421
Alabama 	1	2019	February	Male	3000 - 3499 grams	892
Alabama 	1	2019	February	Male	3500 - 3999 grams	571
Alabama 	1	2019	February	Male	4000 - 4499 grams	150
Alabama 	1	2019	February	Male	4500 - 4999 grams	23
Alabama 	1	2019	March	Female	500 - 999 grams	18
Alabama 	1	2019	March	Female	1000 - 1499 grams	19
Alabama 	1	2019	March	Female	1500 - 1999 grams	42
Alabama 	1	2019	March	Female	2000 - 2499 grams	151
Alabama 	1	2019	March	Female	2500 - 2999 grams	527
Alabama 	1	2019	March	Female	3000 - 3499 grams	807
Alabama 	1	2019	March	Female	3500 - 3999 grams	465
Alabama 	1	2019	March	Female	4000 - 4499 grams	82
Alabama 	1	2019	March	Male	500 - 999 grams	13
Alabama 	1	2019	March	Male	1000 - 1499 grams	19
Alabama 	1	2019	March	Male	1500 - 1999 grams	35
Alabama 	1	2019	March	Male	2000 - 2499 grams	132
Alabama 	1	2019	March	Male	2500 - 2999 grams	469
Alabama 	1	2019	March	Male	3000 - 3499 grams	924
Alabama 	1	2019	March	Male	3500 - 3999 grams	627
Alabama 	1	2019	March	Male	4000 - 4499 grams	157
Alabama 	1	2019	March	Male	4500 - 4999 grams	17
